ESS112, ENVIRONM & SUSTAIBTY STUDIES 112, Y, EMS, 100115, L, CFA, 050, 050, S, B, Intermediate Undergraduate, 1, 20111219, 150550, CBENJAMIN, X, X, X, , 
AFR221, AFRIKAANS 221, Y, ART, 100205, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 2, 20120702, 124436, CSCHROEDER, X, X, X, , 
AFR222, AFRIKAANS 222, Y, ART, 100205, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 2, 20120702, 124436, CSCHROEDER, X, X, X, , 
AFR311, AFRIKAANS 311, Y, ART, 100205, L, CFA, 050, 050, F, B, Intermediate Undergraduate, 3, 20120703, 154542, CSCHROEDER, A, X, X, , 
AFR312, AFRIKAANS 312, Y, ART, 100205, L, CFA, 050, 050, F, B, Intermediate Undergraduate, 3, 20120709, 141808, CSCHROEDER, M, X, X, , 
AFR313, AFRIKAANS 313, Y, ART, 100205, L, CFA, 050, 050, F, B, Intermediate Undergraduate, 3, 20120709, 141811, CSCHROEDER, M, X, X, , 
AFR321, AFRIKAANS 321, Y, ART, 100205, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 3, 20120703, 154542, CSCHROEDER, A, X, X, , 
AFR322, AFRIKAANS 322, Y, ART, 100205, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 3, 20120703, 154542, CSCHROEDER, A, X, X, , 
AFR323, AFRIKAANS 323, Y, ART, 100205, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 3, 20120703, 154542, CSCHROEDER, A, X, X, , 
AFR701, AFRIKAANS 701 : NAVORSINGSOPSTEL, Y, ART, 100205, L, FA, 000, 000, Y, E, Lower Postgraduate, 7, 20120702, 124654, CSCHROEDER, A, X, X, , 
AFR731, AFRIKAANS 731 : NAVORSINGSMETODIEK, Y, ART, 100205, L, CFA, 000, 000, Y, E, Lower Postgraduate, 7, 20120702, 124654, CSCHROEDER, A, X, X, , 
AFR732, AFRIKAANS 732 : LITERERE TEORIE, Y, ART, 100205, L, CFA, 050, 050, F, E, Lower Postgraduate, 7, 20120709, 141839, CSCHROEDER, M, X, X, , 
AFR733, AFRIKAANS 733 : TAALWET/SKAP TEORIE, N, ART, 100205, L, CFA, 000, 000, Y, E, Lower Postgraduate, 7, 20110818, 123856, BBENJAMIN, X, X, , , 
AFR736, AFRIKAANS 736 : AFR. TAALSTRUKTUUR, Y, ART, 100205, L, CFA, 000, 000, Y, E, Lower Postgraduate, 7, 20120702, 124654, CSCHROEDER, A, X, X, , 
AFR737, AFRIKAANS 737 : SEMIOTIEK, Y, ART, 100205, L, CFA, 000, 000, Y, E, Lower Postgraduate, 7, 20120702, 124654, CSCHROEDER, A, X, X, , 
AFR742, AFRIKAANS 742 : SA TONEELPRODUKSIE, N, ART, 100205, L, CFA, 000, 000, Y, E, Lower Postgraduate, 7, 20110818, 123856, BBENJAMIN, X, X, , , 
AFR743, AFRIKAANS 743 : SA POËSIE, Y, ART, 100205, L, CFA, 000, 000, Y, E, Lower Postgraduate, 7, 20120702, 124654, CSCHROEDER, A, X, X, , 
AFR744, AFRIKAANS 744 : NARRAT BINNE SA VER, Y, ART, 100205, L, CFA, 000, 000, Y, E, Lower Postgraduate, 7, 20120702, 124654, CSCHROEDER, A, X, X, , 
AFR745, AFRIKAANS 745 : TYDG NEDL LETTERK, Y, ART, 100205, L, CFA, 050, 050, F, E, Lower Postgraduate, 7, 20120709, 141839, CSCHROEDER, M, X, X, , 
AFR746, AFRIKAANS 746  : HIST NEDL LETTERK, Y, ART, 100205, L, CFA, 000, 000, Y, E, Lower Postgraduate, 7, 20120702, 124654, CSCHROEDER, A, X, X, , 
AFR747, AFRIKAANS 747 : KREATIEWE SKRYFWERK, Y, ART, 100205, L, CFA, 000, 000, Y, E, Lower Postgraduate, 7, 20120702, 124654, CSCHROEDER, A, X, X, , 
AFR801, AFRIKAANS MAGISTER THESIS 801, Y, ART, 100205, H, FA, 000, 000, Y, G, Intermediate PG (Research), 8, 20120702, 124654, CSCHROEDER, X, X, X, , 
AFR802, AFRIKAANS MAGISTER THESIS 802, Y, ART, 100205, H, FA, 000, 000, Y, G, Intermediate PG (Research), 8, 20120702, 124654, CSCHROEDER, X, X, X, , 
AFR901, AFRIKAANS DOCTORAL (1ST ENROLM), Y, ART, 100205, H, FA, 000, 000, Y, I, Higher Postgraduate, 9, 20120702, 124654, CSCHROEDER, X, X, X, , 
AFR902, AFRIKAANS DOCTORAL (2ND ENROLM), Y, ART, 100205, H, FA, 000, 000, Y, I, Higher Postgraduate, 9, 20120702, 124654, CSCHROEDER, X, X, X, , 
ALA211, AFRIKAANS LANGUAGE ACQUISITION 211, N, ART, 100205, L, CFA, 050, 050, F, B, Intermediate Undergraduate, 2, 20110920, 085431, NSTEVENS, X, X, , , 
ALA212, AFRIKAANS LANGUAGE ACQUISITION 212, N, ART, 100205, L, CFA, 050, 050, F, B, Intermediate Undergraduate, 2, 20110920, 085803, NSTEVENS, X, X, , , 
ALA221, AFRIKAANS LANGUAGE ACQUISITION 221, N, ART, 100205, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 2, 20110920, 085824, NSTEVENS, X, X, , , 
ALA222, AFRIKAANS LANGUAGE ACQUISITION 222, N, ART, 100205, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 2, 20110920, 085840, NSTEVENS, X, X, , , 
ALA311, AFRIKAANS LANGUAGE ACQUISITION 311, Y, ART, 100205, L, CFA, 050, 050, F, B, Intermediate Undergraduate, 3, 20120703, 154552, CSCHROEDER, A, X, X, , 
ALA312, AFRIKAANS LANGUAGE ACQUISITION 312, Y, ART, 100205, L, CFA, 050, 050, F, B, Intermediate Undergraduate, 3, 20120709, 141848, CSCHROEDER, M, X, X, , 
ALA321, AFRIKAANS LANGUAGE ACQUISITION 321, Y, ART, 100205, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 3, 20120703, 154552, CSCHROEDER, A, X, X, , 
ALA322, AFRIKAANS LANGUAGE ACQUISITION 322, Y, ART, 100205, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 3, 20120703, 154552, CSCHROEDER, A, X, X, , 
ANT111, ANTHROPOLOGY/SOCIOLOGY 111 (N), Y, ART, 100207, L, CFA, 060, 040, F, B, Intermediate Undergraduate, 1, 20120702, 124654, CSCHROEDER, X, X, X, , 
ANT121, ANTHROPOLOGY/SOCIOLOGY 121 (N), Y, ART, 100207, L, CFA, 060, 040, S, B, Intermediate Undergraduate, 1, 20120703, 154602, CSCHROEDER, X, X, X, , 
ANT211, ANTHROPOLOGY 211, Y, ART, 100207, L, CFA, 060, 040, F, B, Intermediate Undergraduate, 2, 20111219, 114002, NSTEVENS, X, X, X, , 
ANT212, ANTHROPOLOGY 212, Y, ART, 100207, L, CFA, 060, 040, F, B, Intermediate Undergraduate, 2, 20111102, 103603, SNITSCKIE, X, X, X, , 
ANT221, ANTHROPOLOGY 221, Y, ART, 100207, L, CFA, 060, 040, S, B, Intermediate Undergraduate, 2, 20120123, 105052, ADANIELS, X, X, X, , 
ANT222, ANTHROPOLOGY 222, Y, ART, 100207, L, CFA, 060, 040, S, B, Intermediate Undergraduate, 2, 20120123, 105104, ADANIELS, X, X, X, , 
ANT311, ANTHROPOLOGY 311, Y, ART, 100207, L, CFA, 060, 040, F, B, Intermediate Undergraduate, 3, 20120703, 154602, CSCHROEDER, M, X, X, , 
ANT312, ANTHROPOLOGY 312, Y, ART, 100207, L, CFA, 060, 040, F, B, Intermediate Undergraduate, 3, 20120703, 154602, CSCHROEDER, M, X, X, , 
ANT32, ANTH 732 : ANTHRO EXPER H&M PER, N, ART, 100207, L, CFA, 060, 040, F, E, Lower Postgraduate, 7, 20110818, 123856, ADANIELS, M, X, , , 
ANT321, ANTHROPOLOGY 321, Y, ART, 100207, L, CFA, 060, 040, S, B, Intermediate Undergraduate, 3, 20120703, 154602, CSCHROEDER, A, X, X, , 
ANT322, ANTHROPOLOGY 322, Y, ART, 100207, L, CFA, 060, 040, S, B, Intermediate Undergraduate, 3, 20120703, 154602, CSCHROEDER, A, X, X, , 
ANT731, SOC/ANTH 731 : CONT ANTHRO THEORY, Y, ART, 100207, L, CFA, 060, 040, F, E, Lower Postgraduate, 7, 20120703, 090845, CSCHROEDER, M, X, X, , 
ANT732, SOC/ANTH 732 : ANTHRO EXPER H&M PER, Y, ART, 100207, L, CFA, 060, 040, F, E, Lower Postgraduate, 7, 20120703, 090847, CSCHROEDER, M, X, X, , 
ANT733, ANTH 733 : SEL THEM CONT ANTH A, Y, ART, 100207, L, CFA, 000, 000, S, E, Lower Postgraduate, 7, 20120702, 124746, CSCHROEDER, A, X, X, , 
ANT734, ANTH 734 : SEL THEM CONT ANTH B, Y, ART, 100207, L, CFA, 000, 000, S, E, Lower Postgraduate, 7, 20120702, 124746, CSCHROEDER, A, X, X, , 
ANT742, ANTH 742 : HEALTH & MED ANTHRO, Y, ART, 100207, L, CFA, 000, 000, S, E, Lower Postgraduate, 7, 20120702, 124746, CSCHROEDER, A, X, X, , 
ANT801, ANTHROPOLOGY MAG THES (1ST ENROL), Y, ART, 100207, H, FA, 000, 000, Y, G, Intermediate PG (Research), 8, 20111220, 111608, NSTEVENS, X, X, X, , 
ANT802, ANTHROPOLOGY MAG THES (2ND & FURTH), Y, ART, 100207, H, FA, 000, 000, Y, G, Intermediate PG (Research), 8, 20120702, 124746, CSCHROEDER, X, X, X, , 
ANT803, ANTH: MINI THESIS 803, Y, ART, 100207, H, FA, 000, 000, Y, G, Intermediate PG (Research), 8, 20111220, 112116, NSTEVENS, X, X, X, , 
ANT804, ANTH: MINI THESIS 804, Y, ART, 100207, H, FA, 000, 000, Y, G, Intermediate PG (Research), 8, 20120702, 124746, CSCHROEDER, X, X, X, , 
ANT831, ADV ANTHROPOLOGY THEORY 831, Y, ART, 100207, L, CFA, 060, 040, F, F, Intermediate PG (Non research), 8, 20120703, 090847, CSCHROEDER, M, X, X, , 
ANT832, ANTHROPOLOGY M.A. 832, Y, ART, 100207, L, CFA, 060, 040, F, F, Intermediate PG (Non research), 8, 20120703, 090847, CSCHROEDER, M, X, X, , 
ANT833, ANTHROPOLOGY M.A. 833, Y, ART, 100207, L, CFA, 000, 000, F, F, Intermediate PG (Non research), 8, 20120702, 124826, CSCHROEDER, A, X, X, , 
ANT834, ADV METHOD & PHIL OF S/SC (MA) 834, Y, ART, 100207, L, CFA, 000, 000, F, F, Intermediate PG (Non research), 8, 20120702, 124826, CSCHROEDER, A, X, X, , 
ANT847, HEALTH & MEDICAL ANTHROPOLOGY 847, Y, ART, 100207, L, CFA, 000, 000, Y, F, Intermediate PG (Non research), 8, 20120702, 124826, CSCHROEDER, A, X, X, , 
ANT851, ANTH 851 : SELECTED THEMES, Y, ART, 100207, L, CFA, 000, 000, Y, F, Intermediate PG (Non research), 8, 20120702, 124826, CSCHROEDER, A, X, X, , 
ANT901, ANTHROPOLOGY (DOCTORAL)(1ST ENROLM), Y, ART, 100207, H, FA, 000, 000, Y, I, Higher Postgraduate, 9, 20120702, 124826, CSCHROEDER, X, X, X, , 
ANT902, ANTHROPOLOGY (DOCTORAL)(2ND ENROLM), Y, ART, 100207, H, FA, 000, 000, Y, I, Higher Postgraduate, 9, 20120702, 124826, CSCHROEDER, X, X, X, , 
ART900, POST DOCTORAL RESEARCH FELLOWS, Y, ART, 100207, P, FA, 000, 000, Y, Q, Non-accredited module, 9, 20120702, 124851, CSCHROEDER, X, X, X, , 
ETH11, SOCIOLOGY 211, N, ART, 100207, L, CFA, 060, 040, F, B, Intermediate Undergraduate, 2, 20110818, 123856, ADANIELS, X, X, , , 
SOC211, SOCIOLOGY 211, Y, ART, 100207, L, CFA, 060, 040, F, B, Intermediate Undergraduate, 2, 20111220, 112450, NSTEVENS, X, X, X, , 
SOC221, SOCIOLOGY 221, Y, ART, 100207, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 2, 20111219, 114024, NSTEVENS, X, X, X, , 
SOC231, SOCIOLOGY 231, Y, ART, 100207, L, CFA, 060, 040, F, B, Intermediate Undergraduate, 2, 20111219, 114052, NSTEVENS, X, X, X, , 
SOC232, SOCIOLOGY 232, Y, ART, 100207, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 2, 20111102, 104049, SNITSCKIE, X, X, X, , 
SOC311, SOCIOLOGY 311, Y, ART, 100207, L, CFA, 060, 040, F, B, Intermediate Undergraduate, 3, 20120703, 154831, CSCHROEDER, M, X, X, , 
SOC312, SOCIOLOGY 312, Y, ART, 100207, L, CFA, 060, 040, F, B, Intermediate Undergraduate, 3, 20120703, 154831, CSCHROEDER, M, X, X, , 
SOC321, SOCIOLOGY 321, Y, ART, 100207, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 3, 20120703, 154831, CSCHROEDER, A, X, X, , 
SOC322, SOCIOLOGY 322, Y, ART, 100207, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 3, 20120703, 154831, CSCHROEDER, A, X, X, , 
SOC701, SOC/ANTH 701 : RESEARCH PROJECT, Y, ART, 100207, L, CFA, 000, 000, Y, E, Lower Postgraduate, 7, 20120702, 150007, CSCHROEDER, A, X, X, , 
SOC731, SOC/ANTH 731 : CONT ANTHRO THEORY, N, ART, 100207, L, CFA, 060, 040, F, E, Lower Postgraduate, 7, 20110818, 123856, BBENJAMIN, M, X, , , 
SOC732, SOC 732 : ANTHRO EXPER H&M PER, N, ART, 100207, L, CFA, 060, 040, F, E, Lower Postgraduate, 7, 20110818, 123856, VMORTA, M, X, , , 
SOC733, SOC/ANTH 733 : SEL THEM CONT ANTH A, N, ART, 100207, L, CFA, 000, 000, S, E, Lower Postgraduate, 7, 20110818, 123856, BBENJAMIN, X, X, , , 
SOC734, SOC/ANTH 734 : SEL THEM CONT ANTH B, N, ART, 100207, L, CFA, 000, 000, S, E, Lower Postgraduate, 7, 20110818, 123856, BBENJAMIN, X, X, , , 
SOC736, SOC/ANTH 736 : CONTEMP SOC THEORY, Y, ART, 100207, L, CFA, 060, 040, F, E, Lower Postgraduate, 7, 20120716, 150309, CSCHROEDER, M, X, X, , 
SOC737, SOC/ANTH 737 : SOCIO EXPER H&M PER, Y, ART, 100207, L, CFA, 060, 040, F, E, Lower Postgraduate, 7, 20120723, 163550, CSCHROEDER, M, X, X, , 
SOC738, SOC ANTH 738 : SEL THEM CONT SOC A, Y, ART, 100207, L, CFA, 000, 000, S, E, Lower Postgraduate, 7, 20120702, 150007, CSCHROEDER, A, X, X, , 
SOC739, SOC/ANTH 739 : SEL THEM CONT SOC B, Y, ART, 100207, L, CFA, 000, 000, S, E, Lower Postgraduate, 7, 20120702, 150007, CSCHROEDER, A, X, X, , 
SOC742, SOC/ANTH 742 : HEALTH & MED ANTHRO, N, ART, 100207, L, CFA, 000, 000, S, E, Lower Postgraduate, 7, 20110818, 123856, BBENJAMIN, X, X, , , 
SOC743, SOC/ANTH 743 : CAPITA SELECTA, Y, ART, 100207, L, CFA, 000, 000, S, E, Lower Postgraduate, 7, 20120702, 150007, CSCHROEDER, A, X, X, , 
SOC801, SOCIOLOGY MAG THESIS 801, Y, ART, 100207, H, FA, 000, 000, Y, G, Intermediate PG (Research), 8, 20120702, 150007, CSCHROEDER, X, X, X, , 
SOC802, SOCIOLOGY MAG THESIS 802, Y, ART, 100207, H, FA, 000, 000, Y, G, Intermediate PG (Research), 8, 20120702, 150101, CSCHROEDER, X, X, X, , 
SOC803, SOC/ANTH: MINI THESIS 803, Y, ART, 100207, H, FA, 000, 000, Y, G, Intermediate PG (Research), 8, 20120702, 150101, CSCHROEDER, X, X, X, , 
SOC804, SOC/ANTH: MINI THESIS 804, Y, ART, 100207, H, FA, 000, 000, Y, G, Intermediate PG (Research), 8, 20120702, 150101, CSCHROEDER, X, X, X, , 
SOC833, SOCIOLOGY/ANTHROPOLOGY M.A. 833, Y, ART, 100207, L, CFA, 000, 000, F, F, Intermediate PG (Non research), 8, 20120702, 150101, CSCHROEDER, A, X, X, , 
SOC834, ADV METHOD & PHIL OF S/SC (MA) 834, Y, ART, 100207, L, CFA, 000, 000, F, F, Intermediate PG (Non research), 8, 20120702, 150101, CSCHROEDER, A, X, X, , 
SOC836, SOCIOLOGY/ANTHROPOLOGY M.A. 836, Y, ART, 100207, L, CFA, 050, 050, F, F, Intermediate PG (Non research), 8, 20120716, 150323, CSCHROEDER, M, X, X, , 
SOC837, SOCIOLOGY/ANTHROPOLOGY M.A. 837, Y, ART, 100207, L, CFA, 000, 000, F, F, Intermediate PG (Non research), 8, 20120716, 150323, CSCHROEDER, M, X, X, , 
SOC838, MEDICINE & HEALTH IN AFR (MAG) 838, Y, ART, 100207, L, CFA, 050, 050, S, F, Intermediate PG (Non research), 8, 20120702, 150101, CSCHROEDER, A, X, X, , 
SOC839, SOCIOLOGY/ANTHROPOLOGY M.A. 839, Y, ART, 100207, L, CFA, 050, 050, S, F, Intermediate PG (Non research), 8, 20120702, 150101, CSCHROEDER, A, X, X, , 
SOC842, SOCIOLOGY/ANTHROPOLOGY M.A. 842, Y, ART, 100207, L, CFA, 000, 000, S, F, Intermediate PG (Non research), 8, 20120702, 150101, CSCHROEDER, A, X, X, , 
SOC843, SOCIOLOGY/ANTHROPOLOGY M.A. 843, Y, ART, 100207, L, CFA, 000, 000, S, F, Intermediate PG (Non research), 8, 20120702, 150101, CSCHROEDER, A, X, X, , 
SOC845, SOC/ANTH 845 : CAPITA SELECTA, Y, ART, 100207, L, CFA, 000, 000, Y, F, Intermediate PG (Non research), 8, 20120702, 150101, CSCHROEDER, A, X, X, , 
SOC847, HEALTH & MEDICAL ANTHROPOLOGY 847, Y, ART, 100207, L, CFA, 000, 000, Y, F, Intermediate PG (Non research), 8, 20120702, 150101, CSCHROEDER, A, X, X, , 
SOC850, SOC/ANTH 850 : SEL THEMES ANTHRO A, Y, ART, 100207, L, CFA, 050, 050, Y, F, Intermediate PG (Non research), 8, 20120702, 150101, CSCHROEDER, A, X, X, , 
SOC851, SOC/ANTH 851 : SEL THEMES IN SOC A, Y, ART, 100207, L, CFA, 000, 000, Y, F, Intermediate PG (Non research), 8, 20120702, 150101, CSCHROEDER, A, X, X, , 
SOC852, SOC/ANTH 852 : SEL THEMES IN SOC A, Y, ART, 100207, L, CFA, 000, 000, Y, F, Intermediate PG (Non research), 8, 20120702, 150101, CSCHROEDER, A, X, X, , 
SOC853, SOC/ANTH 853 : SEL THEMES IN SOC B, Y, ART, 100207, L, CFA, 000, 000, Y, F, Intermediate PG (Non research), 8, 20120702, 150101, CSCHROEDER, A, X, X, , 
SOC901, SOCIOLOGY DOCTORAL 901, Y, ART, 100207, H, FA, 000, 000, Y, I, Higher Postgraduate, 9, 20120702, 150101, CSCHROEDER, X, X, X, , 
SOC902, SOCIOLOGY DOCTORAL 902, Y, ART, 100207, H, FA, 000, 000, Y, I, Higher Postgraduate, 9, 20120702, 150101, CSCHROEDER, X, X, X, , 
