2012, EMS, 100115, ESS112, ENVIRONM & SUSTAIBTY STUDIES 112, S2, , 
2012, ART, 100209, ARA731, ARABIC 731 : HIST OF ARABIC LIT P&P, S1, , 
2012, ART, 100209, ARA732, ARABIC 732 : TRANS/STUDY OF SEL TEX, S2, , 
2012, ART, 100209, ARA733, ARABIC 733 : SEL PROSE TEXT MOD A/L, S1, , 
2012, ART, 100209, ARA734, ARABIC 734 : COM ARAB/TRANS CON M/A, S1, , 
2012, ART, 100209, ARA735, ARABIC 735 : ORAL EXAMINATION, S2, , 
2012, ART, 100209, ARA801, ARABIC MAGISTER THESIS (1ST ENROLM), YR, , 
2012, ART, 100209, ARA802, ARABIC MAGISTER THES (2ND & FURTH), YR, , 
2012, ART, 100209, CLC111, CLASSICAL CULTURE 111, S1, , 
2012, ART, 100209, CLC121, CLASSICAL CULTURE 121, S2, , 
2012, ART, 100209, FLS901, FOREIGN LANGUAGES THESIS 901, YR, , 
2012, ART, 100209, FLS902, FOREIGN LANGUAGES THESIS 902, YR, , 
2012, ART, 100209, FRE101, FRENCH 101, YR, , 
2012, ART, 100209, FRE211, FRENCH 211, S1, , 
2012, ART, 100209, FRE212, FRENCH 212, S1, , 
2012, ART, 100209, FRE222, FRENCH 222, S2, , 
2012, ART, 100209, FRE225, FRENCH 225, S2, , 
2012, ART, 100209, FRE311, FRENCH 311, S1, , 
2012, ART, 100209, FRE312, FRENCH 312, S1, , 
2012, ART, 100209, FRE321, FRENCH 321, S2, , 
2012, ART, 100209, FRE322, FRENCH 322, S2, , 
2012, ART, 100209, FRE323, FRENCH 323, S2, , 
2012, ART, 100209, FRE701, FRENCH 701 : RESEARCH ESSAY/PROJECT, S1, , 
2012, ART, 100209, FRE731, FRENCH 731 : FRENCH/FRANCO CIV/THEO, S2, , 
2012, ART, 100209, FRE732, FRENCH 732 : FRENCH FOR/COM STYLIS, S2, , 
2012, ART, 100209, FRE733, FRENCH 733 : FRENCH AUTHORS/POETS., S1, , 
2012, ART, 100209, FRE800, FRENCH MAGISTER THESIS, S2, , 
2012, ART, 100209, FRE901, FRENCH DOCTORAL 901, YR, , 
2012, ART, 100209, FRE902, FRENCH DOCTORAL  902, YR, , 
2012, ART, 100209, GER101, GERMAN 101, YR, , 
2012, ART, 100209, GER201, GERMAN 201, YR, , 
2012, ART, 100209, GER311, GERMAN 311, S1, , 
2012, ART, 100209, GER312, GERMAN 312, S1, , 
2012, ART, 100209, GER321, GERMAN 321, S2, , 
2012, ART, 100209, GER322, GERMAN 322, S2, , 
2012, ART, 100209, GER701, GERMAN 701 : RESEACH ESSAY/PROJECT, YR, , 
2012, ART, 100209, GER731, GERMAN 731 : GERMAN LIT SELECT, S1, , 
2012, ART, 100209, GER732, GERMAN 732 : POETRY,PROSE/DRAMA, YR, , 
2012, ART, 100209, GER733, GERMAN 733 : SELECTED AUTHORS, YR, , 
2012, ART, 100209, GER734, GERMAN 734 : COL/POST GERM LIT AFR, YR, , 
2012, ART, 100209, GER735, GERMAN 735 : TEACH GERM/FORN LANG, YR, , 
2012, ART, 100209, GER801, GERMAN MAGISTER THESIS 801, YR, , 
2012, ART, 100209, GER802, GERMAN MAGISTER THESIS 802, YR, , 
2012, ART, 100209, GER901, GERMAN DOCTORAL (1ST ENR) 901, YR, , 
2012, ART, 100209, GER902, GERMAN DOCTORAL (2ND ENR) 902, YR, , 
2012, ART, 100209, LAT101, LATIN 101, YR, , 
2012, ART, 100209, LAT211, LATIN 211, S1, , 
2012, ART, 100209, LAT212, LATIN 212, S1, , 
2012, ART, 100209, LAT221, LATIN 221, S2, , 
2012, ART, 100209, LAT222, LATIN 222, S2, , 
2012, ART, 100209, LAT223, LATIN 223, S2, , 
2012, ART, 100209, LAT224, LATIN 224, S2, , 
2012, ART, 100209, LAT311, LATIN 311, S1, , 
2012, ART, 100209, LAT312, LATIN 312, S1, , 
2012, ART, 100209, LAT321, LATIN 321, S2, , 
2012, ART, 100209, LAT322, LATIN 322, S2, , 
2012, ART, 100209, LAT901, LATIN DOCTORAL  901, YR, , 
2012, ART, 100209, LAT902, LATIN DOCTORAL  902, YR, , 
2012, ART, 100211, CHR111, CHRISTIAN MINISTRY 111 (N), S1, , 
2012, ART, 100211, CHR121, CHRISTIAN MINISTRY 121 (N), S2, , 
2012, ART, 100211, ETH111, ETHICS 111 (N), S1, , 
2012, ART, 100211, ETH121, ETHICS 121 (N), S2, , 
2012, ART, 100211, ETH211, ETHICS 211, S1, , 
2012, ART, 100211, ETH212, ETHICS 212, S1, , 
2012, ART, 100211, ETH221, ETHICS 221, S2, , 
2012, ART, 100211, ETH222, ETHICS 222, S2, , 
2012, ART, 100211, ETH311, ETHICS 311, S1, , 
2012, ART, 100211, ETH312, ETHICS 312, S1, , 
2012, ART, 100211, ETH321, ETHICS 321, S2, , 
2012, ART, 100211, ETH322, ETHICS 322, S2, , 
2012, ART, 100211, ETH731, ETHICS 731 : ETHICAL THEORY, S1, , 
2012, ART, 100211, ETH734, ETHICS 734 : PUBLIC MORALITY, S1, , 
2012, ART, 100211, ETH736, ETHICS 736: PROFESSIONAL ETHICS, S1, , 
2012, ART, 100211, ETH831, ETHICS 831 : ETHICAL THEORY, S1, , 
2012, ART, 100211, ETH834, ETHICS 834 : PUBLIC MORALITY, S1, , 
2012, ART, 100211, ETH836, ETHICS 836: PROFESSIONAL ETHICS, S2, , 
2012, ART, 100211, HER111, HERMENEUTICS 111, S1, , 
2012, ART, 100211, HER121, HERMENEUTICS 121 (N), S2, , 
2012, ART, 100211, HER122, HERMENEUTICS 122 (N), S2, , 
2012, ART, 100211, REL711, REL/THEO 711 : RESEARCH METHODOLOGY, S1, , 
2012, ART, 100211, REL801, RELIGIOUS STUD MAG THESIS 801, YR, , 
2012, ART, 100211, REL802, RELIGIOUS STUD MAG THESIS 802, YR, , 
2012, ART, 100211, RET811, RESEARCH METHODOLOGY 811, YR, , 
2012, ART, 100211, RTS901, RELIGION & THEOLOGY DOC 901, YR, , 
2012, ART, 100211, RTS902, RELIGION & THEOLOGY 902, YR, , 
2012, ART, 100211, TST111, THEOLOGICAL STUDIES 111 (N), S1, , 
2012, ART, 100211, TST121, THEOLOGICAL STUDIES 121 (N), S2, , 
2012, ART, 100211, TST211, THEOLOGICAL STUDIES 211, S1, , 
2012, ART, 100211, TST212, THEOLOGICAL STUDIES 212, S1, , 
2012, ART, 100211, TST213, THEOLOGICAL STUDIES 213, S1, , 
2012, ART, 100211, TST214, THEOLOGICAL STUDIES 214, S1, , 
2012, ART, 100211, TST221, THEOLOGICAL STUDIES 221, S2, , 
2012, ART, 100211, TST222, THEOLOGICAL STUDIES 222, S2, , 
2012, ART, 100211, TST223, THEOLOGICAL STUDIES 223, S2, , 
2012, ART, 100211, TST224, THEOLOGICAL STUDIES 224, S2, , 
2012, ART, 100211, TST301, THEOLOGICAL STUDIES 301, YR, , 
2012, ART, 100211, TST311, THEOLOGICAL STUDIES 311, S1, , 
2012, ART, 100211, TST312, THEOLOGICAL STUDIES 312, S1, , 
2012, ART, 100211, TST314, THEOLOGICAL STUDIES 314, S1, , 
2012, ART, 100211, TST321, THEOLOGICAL STUDIES 321, S2, , 
2012, ART, 100211, TST322, THEOLOGICAL STUDIES 322, S2, , 
2012, ART, 100211, TST325, THEOLOGICAL STUDIES 325, S2, , 
2012, ART, 100211, TST326, THEOLOGICAL STUDIES 326, S2, , 
2012, ART, 100211, TST701, THEO STUD 701 : RESEARCH ESSAY, YR, , 
2012, ART, 100211, TST732, THEO STUD 732 : OLD TEST EXEGESIS, S1, , 
2012, ART, 100211, TST734, THEO STUD 734 : NEW TEST EXEGESIS, S2, , 
2012, ART, 100211, TST735, THEO STUD 735 : BIBL HERMENEUTICS, S2, , 
2012, ART, 100211, TST742, THEO STUD 742 : HOMILETICS & LITURG, S1, , 
2012, ART, 100211, TST743, THEO STUD 743 : PAST CARE/ COUNSELL, S2, , 
2012, ART, 100211, TST744, CONTEMPORARY CHRISTIAN THEOL 744, S1, , 
2012, ART, 100211, TST745, THEOLOGY AND DEVELOPMENT 745, YR, , 
2012, ART, 100211, TST746, CONTEXTUAL CHRIST. SPIRITUALITY 746, S1, , 
2012, ART, 100211, TST803, THEO STUD : MINI THESIS 803, YR, , 
2012, ART, 100211, TST804, THEO STUD : MINI THESIS 804, YR, , 
2012, ART, 100211, TST832, THEO STUD 832 : OLD TEST EXEGESIS, S1, , 
2012, ART, 100211, TST834, THEO STUD 834 : NEW TEST EXEGESIS, S2, , 
2012, ART, 100211, TST835, THEO STUD 835 : BIBL HERMENEUTICS, S2, , 
2012, ART, 100211, TST843, THEO STUD 843 : PAST CARE/ COUNSELL, S2, , 
2012, ART, 100211, TST844, CONTEMPORARY CHRISTIAN THEOL 844, S1, , 
2012, ART, 100211, TST845, THEOLOGY AND DEVELOPMENT 845, YR, , 
2012, ART, 100211, TST846, CONTEXTUAL CHRIST. SPIRITUALITY 846, S1, , 
2012, ART, 100213, AIL100, ACADEMIC INFO LITERACY 100, YR, , 
2012, ART, 100213, CIS100, CULTURAL STUDIES 100, YR, , 
2012, ART, 100213, CST100, COMMUNICATION STUDIES 100, YR, , 
2012, ART, 100213, EDU100, EDUC (ARTS), YR, , 
2012, ART, 100213, EED101, ENG FOR EDUC DEV 101 (LAW), YR, , 
2012, ART, 100213, EED111, ENGLISH FOR EDUC DEV 111 (CHS), S1, , 
2012, ART, 100213, EED117, ENG FOR EDUC DEV 117 (SC), S1, , 
2012, ART, 100213, EED121, ENG FOR EDUC DEV 121 (CHS), S2, , 
2012, ART, 100213, EED127, ENG FOR EDUC DEV 127 (SC), S2, , 
2012, ART, 100213, EED151, ENG FOR EDUC DEV 151 (NURS FOUND), S1, , 
2012, ART, 100213, ENG105, ENGLISH 105, S1, , 
2012, ART, 100213, ENG111, ENGLISH 111, S1, , 
2012, ART, 100213, ENG121, ENGLISH 121, S2, , 
2012, ART, 100213, ENG211, ENGLISH 211, S1, , 
2012, ART, 100213, ENG221, ENGLISH 221, S2, , 
2012, ART, 100213, ENG223, ENGLISH 223, S1, , 
2012, ART, 100213, ENG224, ENGLISH 224, S2, , 
2012, ART, 100213, ENG311, ENGLISH 311, S1, , 
2012, ART, 100213, ENG313, ENGLISH 313, S1, , 
2012, ART, 100213, ENG321, ENGLISH 321, S2, , 
2012, ART, 100213, ENG323, ENGLISH 323, S2, , 
2012, ART, 100213, ENG331, ENGLISH 331, S2, , 
2012, ART, 100213, ENG716, ENGLISH 716: ART OF WRITING A, S1, , 
2012, ART, 100213, ENG717, ENGLISH 717: ART OF WRITING B, S2, , 
2012, ART, 100213, ENG718, ENGLISH 718:STUD IN CREATIVE WRITIN, S2, , 
2012, ART, 100213, ENG720, ENGLISH 720: STUDIES IN DRAMA, S2, , 
2012, ART, 100213, ENG721, ENGLISH 721: ECOLOGY AND WRITING, S2, , 
2012, ART, 100213, ENG723, ENGLISH 723: FICTION & NARRATIVE SA, S1, , 
2012, ART, 100213, ENG724, ENGLISH 724:FICTION & NARRA AFR LIT, S2, , 
2012, ART, 100213, ENG725, ENGLISH 725:FICTION & NARR WRLD LIT, S2, , 
2012, ART, 100213, ENG726, ENGLISH 726:STUDIES IN FILM & NARRA, S2, , 
2012, ART, 100213, ENG727, ENGLISH 727:LITERARY & CULTUR THEOR, S2, , 
2012, ART, 100213, ENG728, ENGLISH 728: MODERN POETRY, S1, , 
2012, ART, 100213, ENG737, ENGLISH 737 : LIT & CINE REP OF POV, S2, , 
2012, ART, 100213, ENG801, ENGLISH MAGISTER THESIS 1ST ENR 801, YR, , 
2012, ART, 100213, ENG802, ENGLISH MAGISTER THESIS(2ND ENR)802, YR, , 
2012, ART, 100213, ENG803, ENGLISH:MINI THES (1ST ENR)803, YR, , 
2012, ART, 100213, ENG804, ENGLISH MINI THESIS(2ND ENR)804, YR, , 
2012, ART, 100213, ENG816, ENGLISH 816: ART OF WRITING A, S1, , 
2012, ART, 100213, ENG817, ENGLISH 817: ART OF WRITING B, S2, , 
2012, ART, 100213, ENG818, ENGLISH 818:STUD IN CREATIVE WRITIN, S2, , 
2012, ART, 100213, ENG819, ENGLISH 819: DIGITAL CULTURE, S1, , 
2012, ART, 100213, ENG821, ENGLISH 821:ECOLOGY & WRITING, S2, , 
2012, ART, 100213, ENG823, ENGLISH 823:FICTION & NARRA SA, S1, , 
2012, ART, 100213, ENG824, ENGLISH 824:FICTION & NARRA AFR LIT, S2, , 
2012, ART, 100213, ENG825, ENGLISH 825:FICTION & NARR WRLD LIT, S2, , 
2012, ART, 100213, ENG828, ENGLISH 828: MODERN POETRY, S1, , 
2012, ART, 100213, ENG829, ENGLISH 829: DIRECTED READING, YR, , 
2012, ART, 100213, ENG837, ENGLISH 837 : LIT & CINE REP OF POV, S2, , 
2012, ART, 100213, ENG901, ENGLISH DOCTORAL (1ST ENROLMENT)901, YR, , 
2012, ART, 100213, ENG902, ENGLISH DOCTORAL (2ND ENROLMENT)902, YR, , 
2012, ART, 100213, HUM100, HUMANITIES FOUNDATION 100, YR, , 
2012, ART, 100213, SST100, SOCIAL STUDIES 100, YR, , 
2012, ART, 100217, ESS111, ENVIRONM & SUSTAIBTY STUDIES 111, S1, , 
2012, ART, 100217, ESS132, ENVIRONM & SUSTAIBTY STUDIES 132, S2, , 
2012, EMS, 100217, ESS211, ENVIRONM & SUSTAIN STUDIES 211, T1, , 
2012, ART, 100217, ESS212, ENVIRONM & SUSTAIN STUDIES 212, T3, , 
2012, ART, 100217, GES111, GEOGRAPHY 111, S1, , 
2012, ART, 100217, GES121, GEOGRAPHY 121, S2, , 
2012, ART, 100217, GES211, GEOGRAPHY 211, S1, , 
2012, ART, 100217, GES212, GEOGRAPHY 212, S2, , 
2012, ART, 100217, GES213, GEOGRAPHY 213, S1, , 
2012, ART, 100217, GES221, GEOGRAPHY 221, S1, , 
2012, ART, 100217, GES222, GEOGRAPHY 222, S2, , 
2012, ART, 100217, GES223, GEOGRAPHY 223, S2, , 
2012, ART, 100217, GES311, GEOGRAPHY 311, S1, , 
2012, ART, 100217, GES312, GEOGRAPHY 312, S2, , 
2012, ART, 100217, GES313, GEOGRAPHY 313, S1, , 
2012, ART, 100217, GES321, GEOGRAPHY 321, S1, , 
2012, ART, 100217, GES322, GEOGRAPHY 322, S2, , 
2012, ART, 100217, GES323, GEOGRAPHY 323, S2, , 
2012, ART, 100217, GES701, GEOGS 701 : RESEARCH PROJECT, YR, , 
2012, ART, 100217, GES711, GEOGS 711 : HIST/PHIL;GEO/RES METH, S1, , 
2012, ART, 100217, GES731, GEOGS 731 : ENVIRONMENT MANAGEMENT, S2, , 
2012, ART, 100217, GES732, GEOGS 732 : URBAN CHANGE & POLICY, S2, , 
2012, ART, 100217, GES738, GEOGS 738 : GEOGRAPHICAL INFO SYST, S1, , 
2012, ART, 100217, GES739, GEOGS 739 : CARS, CITIES, CULTURES, S1, , 
2012, ART, 100217, GES746, CAPITA SELECTA 746, YR, , 
2012, ART, 100217, GES801, GEOGRAPHY MAGISTER THESIS 801, YR, , 
2012, ART, 100217, GES802, GEOGRAPHY MAG THESIS  802, YR, , 
2012, ART, 100217, GES901, GEOGRAPHY (DOCTORAL) 1ST ENROLM 901, YR, , 
2012, ART, 100217, GES902, GEOGRAPHY (DOCTORAL) 2ND ENROLM 902, YR, , 
2012, ART, 100217, TOU211, TOURISM 211, S1, , 
2012, ART, 100217, TOU212, TOURISM 212, S1, , 
2012, ART, 100217, TOU221, TOURISM 221, S2, , 
2012, ART, 100217, TOU222, TOURISM 222, S2, , 
2012, ART, 100217, TOU311, TOURISM 311, S1, , 
2012, ART, 100217, TOU321, TOURISM 321, S2, , 
2012, ART, 100217, TOU322, TOURISM 322, S2, , 
2012, ART, 100217, TOU341, TOURISM 341, S1, , 
